"Date,Product Line,Product,Stock Available,Stock Sold,Ending Inventory,Sell-Through Rate (%)"
"2026-11,Leather Goods,Evelyne,613,485,128,79.1"
"2026-12,Leather Goods,Evelyne,812,621,191,76.5"
"2024-01,Leather Goods,Videpoche,181,146,35,80.7"
"2024-02,Leather Goods,Videpoche,210,154,56,73.3"
"2024-03,Leather Goods,Videpoche,243,172,71,70.8"
"2024-04,Leather Goods,Videpoche,240,183,57,76.2"
"2024-05,Leather Goods,Videpoche,279,202,77,72.4"
"2024-06,Leather Goods,Videpoche,274,213,61,77.7"
"2024-07,Leather Goods,Videpoche,223,178,45,79.8"
"2024-08,Leather Goods,Videpoche,214,166,48,77.6"
"2024-09,Leather Goods,Videpoche,261,192,69,73.6"
"2024-10,Leather Goods,Videpoche,272,203,69,74.6"
"2024-11,Leather Goods,Videpoche,290,224,66,77.2"
"2024-12,Leather Goods,Videpoche,361,273,88,75.6"
"2025-01,Leather Goods,Videpoche,196,151,45,77.0"
"2025-02,Leather Goods,Videpoche,207,163,44,78.7"
"2025-03,Leather Goods,Videpoche,250,183,67,73.2"
"2025-04,Leather Goods,Videpoche,257,192,65,74.7"
"2025-05,Leather Goods,Videpoche,275,208,67,75.6"
"2025-06,Leather Goods,Videpoche,306,233,73,76.1"
"2025-07,Leather Goods,Videpoche,249,190,59,76.3"
"2025-08,Leather Goods,Videpoche,224,171,53,76.3"
"2025-09,Leather Goods,Videpoche,267,196,71,73.4"
"2025-10,Leather Goods,Videpoche,284,210,74,73.9"
"2025-11,Leather Goods,Videpoche,316,238,78,75.3"
"2025-12,Leather Goods,Videpoche,373,285,88,76.4"
"2026-01,Leather Goods,Videpoche,221,162,59,73.3"
"2026-02,Leather Goods,Videpoche,231,173,58,74.9"
"2026-03,Leather Goods,Videpoche,258,197,61,76.4"
"2026-04,Leather Goods,Videpoche,263,205,58,77.9"
"2026-05,Leather Goods,Videpoche,293,222,71,75.8"
"2026-06,Leather Goods,Videpoche,312,246,66,78.8"
"2026-07,Leather Goods,Videpoche,269,203,66,75.5"
"2026-08,Leather Goods,Videpoche,251,192,59,76.5"
"2026-09,Leather Goods,Videpoche,284,210,74,73.9"
"2026-10,Leather Goods,Videpoche,298,220,78,73.8"
"2026-11,Leather Goods,Videpoche,333,253,80,76.0"
"2026-12,Leather Goods,Videpoche,396,306,90,77.3"
"2024-01,Leather Goods,Della Cavalleria,151,119,32,78.8"
"2024-02,Leather Goods,Della Cavalleria,149,114,35,76.5"
"2024-03,Leather Goods,Della Cavalleria,160,123,37,76.9"
"2024-04,Leather Goods,Della Cavalleria,185,138,47,74.6"
"2024-05,Leather Goods,Della Cavalleria,207,144,63,69.6"
"2024-06,Leather Goods,Della Cavalleria,215,160,55,74.4"
"2024-07,Leather Goods,Della Cavalleria,178,136,42,76.4"
"2024-08,Leather Goods,Della Cavalleria,153,121,32,79.1"
"2024-09,Leather Goods,Della Cavalleria,183,142,41,77.6"
"2024-10,Leather Goods,Della Cavalleria,185,148,37,80.0"
"2024-11,Leather Goods,Della Cavalleria,218,170,48,78.0"
"2024-12,Leather Goods,Della Cavalleria,257,204,53,79.4"
"2025-01,Leather Goods,Della Cavalleria,160,126,34,78.8"
"2025-02,Leather Goods,Della Cavalleria,156,118,38,75.6"
"2025-03,Leather Goods,Della Cavalleria,178,131,47,73.6"
"2025-04,Leather Goods,Della Cavalleria,198,147,51,74.2"
"2025-05,Leather Goods,Della Cavalleria,202,156,46,77.2"
"2025-06,Leather Goods,Della Cavalleria,221,173,48,78.3"
"2025-07,Leather Goods,Della Cavalleria,184,141,43,76.6"
"2025-08,Leather Goods,Della Cavalleria,168,122,46,72.6"
"2025-09,Leather Goods,Della Cavalleria,199,148,51,74.4"
"2025-10,Leather Goods,Della Cavalleria,209,152,57,72.7"
"2025-11,Leather Goods,Della Cavalleria,231,173,58,74.9"
"2025-12,Leather Goods,Della Cavalleria,282,217,65,77.0"
"2026-01,Leather Goods,Della Cavalleria,168,131,37,78.0"
"2026-02,Leather Goods,Della Cavalleria,165,123,42,74.5"
"2026-03,Leather Goods,Della Cavalleria,185,143,42,77.3"
"2026-04,Leather Goods,Della Cavalleria,207,157,50,75.8"
"2026-05,Leather Goods,Della Cavalleria,223,165,58,74.0"
"2026-06,Leather Goods,Della Cavalleria,238,181,57,76.1"
"2026-07,Leather Goods,Della Cavalleria,198,149,49,75.3"
"2026-08,Leather Goods,Della Cavalleria,177,133,44,75.1"
"2026-09,Leather Goods,Della Cavalleria,207,154,53,74.4"
"2026-10,Leather Goods,Della Cavalleria,219,165,54,75.3"
"2026-11,Leather Goods,Della Cavalleria,248,186,62,75.0"
"2026-12,Leather Goods,Della Cavalleria,295,224,71,75.9"
